id_pelicula,titulo,popularidad,votos_promedio,clasificacion_chile,restriccion_horaria,promocion_permitida,fuente
1285366,愛のぬくもり,40.6075,5.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1287454,農家の嫁は、取り扱い注意！ Part 2 有機ある大作戦篇,30.4397,10.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1288341,Siete Francotiradores,85.44,5.643,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
129,El viaje de Chihiro,32.7915,8.535,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1290821,Shelter: El Protector,84.2497,7.665,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
1291608,Patriotismo,63.7299,7.244,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1292415,Beast (La bestia),50.3237,6.37,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1293550,बंदर,114.1343,7.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1295400,El último vikingo,16.9806,7.2,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1297842,GOAT: Como cabras,74.1947,8.122,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
13,Forrest Gump,19.7457,8.465,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1300501,പേട്രിയറ്റ്,19.084,7.1,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1301421,Las ovejas detectives,27.9817,7.632,TE,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
1304313,La momia de Lee Cronin,152.4658,8.036,18+,Solo horario nocturno / no promoción infantil,No permitida para público infantil,TMDB + reglas Chile
1305781,Blades of the Guardians: Wind Rises in the Desert,65.2418,7.0,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
1306368,El botín,23.5094,7.083,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
13078,The Babysitters: Las niñeras,25.0754,5.998,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
