id_pelicula,titulo,popularidad,votos_promedio,clasificacion_chile,restriccion_horaria,promocion_permitida,fuente
674,Harry Potter y el cáliz de fuego,39.6921,7.8,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
675,Harry Potter y la Orden del Fénix,34.0077,7.672,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
680,Pulp Fiction,35.9042,8.483,18+,Solo horario nocturno / no promoción infantil,No permitida para público infantil,TMDB + reglas Chile
680493,Return to Silent Hill,20.6439,5.395,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
687163,Proyecto Salvación,133.9242,8.683,TE+7,Permitida en horario familiar,Permitida para campañas familiares,TMDB + reglas Chile
687259,镜花风月三之螺女挑情,50.4516,6.2,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
693134,Dune: Parte dos,21.7483,8.127,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
744275,After: Almas perdidas,52.4801,7.003,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
7451,xXx,23.2236,5.988,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
755898,La guerra de los mundos,54.0598,4.091,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
76600,Avatar: El sentido del agua,22.0747,7.594,14+,Promoción restringida después de las 22:00,Permitida solo con contenido para mayores,TMDB + reglas Chile
767,Harry Potter y el misterio del príncipe,34.6508,7.7,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
769,Uno de los nuestros,27.9562,8.454,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
77338,Intocable,22.3117,8.271,Sin clasificación,Revisar manualmente,Revisar manualmente,TMDB + reglas Chile
